file_name_csv,loggerID,site,zone
BMRMUSCACP57_20030.csv,BMRMUSCACP57,CP,High
BMRMUSCACP57_20040.csv,BMRMUSCACP57,CP,High
BMRMUSCACP57_20050.csv,BMRMUSCACP57,CP,High
BMRMUSCACP57_20060.csv,BMRMUSCACP57,CP,High
BMRMUSCACP58_20030.csv,BMRMUSCACP58,CP,Upper-Mid
BMRMUSCACP58_20040.csv,BMRMUSCACP58,CP,Upper-Mid
BMRMUSCACP58_20060.csv,BMRMUSCACP58,CP,Upper-Mid
BMRMUSCACP58_20070.csv,BMRMUSCACP58,CP,Upper-Mid
BMRMUSCACP58_20080.csv,BMRMUSCACP58,CP,Upper-Mid
BMRMUSCACP58_20090.csv,BMRMUSCACP58,CP,Upper-Mid
BMRMUSCACP58_20100.csv,BMRMUSCACP58,CP,Upper-Mid